epoch,train_total,train_box,train_cls,train_dfl,train_kpt,val_total,val_box,val_cls,val_dfl,val_kpt,lr
167,9.37041,0.14151,0.00199908,1.03491,6.75572,10.5681,0.21667,0.00159654,1.30117,6.99055,0.000216797
168,9.4965,0.145525,0.00203658,1.0554,6.82095,10.8677,0.224174,0.00139061,1.37976,7.11601,0.000211427
169,9.27067,0.14044,0.00201788,1.01405,6.69528,10.0314,0.204539,0.00136546,1.23882,6.63846,0.000206107
170,9.30337,0.134299,0.00202991,0.998051,6.79803,10.2285,0.214038,0.00138651,1.29167,6.68498,0.000200838
171,9.50169,0.145555,0.00191571,1.05946,6.81988,10.2334,0.22044,0.001484,1.34146,6.56715,0.000195619
172,8.98248,0.139315,0.00209426,1.03398,6.3856,10.9491,0.239046,0.0014902,1.43656,7.00065,0.000190453
173,9.18767,0.140598,0.00213601,1.04388,6.5663,9.95868,0.209732,0.00144419,1.27559,6.47158,0.00018534
174,9.02784,0.138276,0.00195478,1.00963,6.47536,10.7261,0.232629,0.00160981,1.40272,6.87645,0.00018028
175,9.15406,0.134259,0.00191233,0.993766,6.65552,10.7253,0.226588,0.0013486,1.38877,6.94209,0.000175276
176,9.31798,0.137652,0.00189807,1.01954,6.75534,9.86445,0.202665,0.00127059,1.24258,6.47996,0.000170327
177,9.37239,0.136268,0.00199905,1.02573,6.81079,10.6071,0.228188,0.00152502,1.3849,6.81757,0.000165435
178,9.40071,0.14092,0.00177957,1.0491,6.76927,10.257,0.221858,0.00150188,1.3551,6.55968,0.0001606
179,9.1373,0.134756,0.00182745,0.998001,6.62871,10.2073,0.206106,0.00142808,1.25351,6.78049,0.000155823
180,8.97677,0.140937,0.00202529,1.05162,6.34129,9.98084,0.206479,0.00138456,1.25336,6.55151,0.000151105
181,8.98928,0.136995,0.00180704,1.01747,6.4347,10.3761,0.219764,0.00148152,1.31584,6.75336,0.000146447
182,9.14358,0.134572,0.00203143,0.993376,6.64321,10.0777,0.205851,0.00135808,1.26496,6.63567,0.000141849
183,8.95304,0.136358,0.0017651,1.01904,6.40092,10.5196,0.235775,0.0013651,1.44625,6.58119,0.000137313
184,9.48157,0.146545,0.00177116,1.05663,6.79665,10.4473,0.222087,0.00123304,1.36372,6.73541,0.000132839
185,9.44105,0.147913,0.00201523,1.06343,6.73556,10.3785,0.21941,0.00128387,1.3552,6.69949,0.000128428
186,8.92502,0.140373,0.00177252,1.02023,6.34099,10.3491,0.224253,0.00134401,1.35138,6.63947,0.00012408
187,9.26774,0.138508,0.00219566,1.03119,6.68104,10.5108,0.219637,0.00141919,1.35348,6.83265,0.000119797
188,9.11667,0.139249,0.00184156,1.03752,6.5151,10.5204,0.224295,0.00126339,1.37366,6.77708,0.000115579
189,9.26064,0.143366,0.00204862,1.01643,6.65972,10.8745,0.246596,0.00132259,1.47132,6.81735,0.000111427
190,8.98021,0.136742,0.00198469,0.998122,6.45647,10.6316,0.238083,0.00147338,1.45549,6.66204,0.000107342
191,9.14326,0.143963,0.00188699,1.00953,6.5483,10.1601,0.222059,0.00136869,1.34563,6.47554,0.000103323
192,8.81639,0.128976,0.00180247,0.989541,6.36386,10.2091,0.215784,0.00134868,1.33061,6.59415,9.93731e-05
193,8.87657,0.133564,0.00170159,0.996305,6.37953,10.9378,0.251846,0.00126512,1.52781,6.75659,9.54915e-05
194,9.0654,0.136059,0.00187405,0.996392,6.54943,10.4634,0.220466,0.00133531,1.34371,6.79365,9.16792e-05
195,9.05476,0.135956,0.00160663,1.01796,6.50734,10.4332,0.229516,0.001379,1.41288,6.5918,8.79369e-05
196,8.47206,0.128688,0.00151294,0.965819,6.05741,10.0441,0.215034,0.00127675,1.31601,6.45667,8.42652e-05
197,8.97655,0.139906,0.00187316,1.02572,6.38774,10.4622,0.227987,0.00134337,1.38295,6.6772,8.06647e-05
198,9.16052,0.144097,0.00202959,1.0378,6.52208,10.4494,0.231774,0.00138956,1.40124,6.60858,7.71361e-05
199,8.98335,0.139003,0.00217077,1.01782,6.41301,9.92015,0.208897,0.00134,1.28195,6.42983,7.36799e-05
200,8.52629,0.131324,0.00171165,0.988374,6.05794,10.411,0.221453,0.00133603,1.36131,6.70748,7.02968e-05
201,8.83423,0.135694,0.00186252,1.00359,6.31021,10.3457,0.226094,0.00132262,1.37685,6.58402,6.69873e-05
202,8.91035,0.138366,0.00186954,1.00138,6.36961,10.3397,0.220443,0.00126982,1.34157,6.67338,6.3752e-05
203,8.99402,0.139099,0.00183412,1.00565,6.44139,10.5133,0.236326,0.00134955,1.42804,6.59813,6.05914e-05
204,9.00535,0.138084,0.00177241,1.0187,6.44078,10.2375,0.216663,0.00119715,1.32373,6.62637,5.75062e-05
205,8.78182,0.13762,0.0018384,1.02333,6.21375,10.2485,0.221181,0.00126867,1.34948,6.56483,5.44967e-05
206,8.72896,0.130858,0.00170682,0.991872,6.25886,10.4344,0.229052,0.00127661,1.41328,6.59599,5.15636e-05
207,8.83278,0.140442,0.0019722,1.02312,6.2438,10.4156,0.224071,0.00127827,1.38438,6.65788,4.87074e-05
208,8.9152,0.136015,0.00164185,0.982417,6.42064,10.27,0.223067,0.00125093,1.37722,6.53049,4.59284e-05
209,8.54697,0.13388,0.00173565,0.994231,6.05066,10.2596,0.217587,0.00134548,1.34137,6.61493,4.32273e-05
210,8.54038,0.133394,0.00182381,1.00556,6.03068,10.3114,0.221,0.00139379,1.36066,6.61226,4.06044e-05
211,8.63368,0.129892,0.00156353,0.976042,6.19464,10.2562,0.220375,0.00135968,1.35842,6.5651,3.80602e-05
212,8.37944,0.128071,0.00173284,0.962298,5.97459,10.089,0.209025,0.00133134,1.29976,6.57099,3.55952e-05
213,9.04338,0.131673,0.00182636,0.994469,6.56322,10.1446,0.21481,0.00135171,1.32285,6.5486,3.32098e-05
214,8.45877,0.134653,0.00168961,1.00149,5.94579,10.1856,0.216845,0.00128576,1.35085,6.53238,3.09043e-05
215,8.66841,0.132111,0.00169201,0.996301,6.18228,10.1126,0.217923,0.00130385,1.34702,6.457,2.86793e-05
216,8.92867,0.135821,0.00189053,1.01298,6.38959,10.3601,0.225074,0.00126484,1.39343,6.58125,2.65349e-05
217,8.83482,0.135861,0.00174009,1.00845,6.30232,10.2344,0.219159,0.00125721,1.36482,6.5428,2.44717e-05
218,8.3234,0.125548,0.00160108,0.956089,5.94686,10.3244,0.223431,0.00125469,1.39463,6.55612,2.249e-05
219,8.63544,0.133693,0.00165627,0.99751,6.13565,10.2094,0.21744,0.00129026,1.35498,6.5455,2.05901e-05
220,8.76559,0.135101,0.00190151,1.00298,6.24692,10.2606,0.222703,0.00132528,1.3709,6.53332,1.87724e-05
221,8.6288,0.127909,0.00184124,0.969772,6.2139,10.1783,0.219584,0.00131298,1.36199,6.48781,1.70371e-05
222,8.87413,0.128236,0.00175571,0.970094,6.45635,10.1349,0.216681,0.0013077,1.3489,6.48583,1.53845e-05
223,8.98263,0.142566,0.00200977,1.01845,6.38471,10.1861,0.216828,0.00128206,1.34483,6.54204,1.3815e-05
224,8.16538,0.126818,0.00157799,0.960793,5.77227,10.1055,0.215663,0.00134532,1.34731,6.46635,1.23288e-05
225,8.98437,0.135043,0.00208337,1.01873,6.44241,9.98617,0.214815,0.0013111,1.31429,6.40297,1.09262e-05
226,8.8448,0.136475,0.00184691,0.973083,6.36069,9.99025,0.213254,0.00129564,1.30601,6.43118,9.60736e-06
227,8.53417,0.128076,0.00168456,0.982404,6.09915,9.94787,0.209559,0.00125126,1.29395,6.43463,8.37255e-06
228,8.7651,0.135816,0.00185267,0.996887,6.25022,10.113,0.214823,0.00127942,1.32362,6.51577,7.22197e-06
